"","language","tonal","tonalBinary"
"228","13A-klv","No",0
"229","13A-kio","Yes",1
"230","13A-kgz","No",0
"231","13A-krb","No",0
"232","13A-kss","Yes",1
"233","13A-kiw","Yes",1
"234","13A-klm","No",0
"235","13A-kla","Yes",1
"236","13A-koa","Yes",1
"237","13A-kob","No",0
"238","13A-koh","Yes",1
"239","13A-koi","Yes",1
"240","13A-kzy","No",0
"241","13A-kom","Yes",1
"242","13A-kkn","No",0
"243","13A-kgi","Yes",1
"244","13A-kor","No",0
"245","13A-kfe","No",0
"246","13A-kry","No",0
"247","13A-kot","No",0
"248","13A-ktk","Yes",1
"249","13A-koy","No",0
"250","13A-kch","No",0
"251","13A-kpa","Yes",1
"252","13A-kpe","Yes",1
"253","13A-kro","Yes",1
"254","13A-kya","No",0
"255","13A-kul","Yes",1
"256","13A-kun","No",0
"257","13A-knm","Yes",1
"258","13A-kmp","No",0
"259","13A-krd","No",0
"260","13A-kut","No",0
"261","13A-kwa","No",0
"262","13A-kwk","No",0
"263","13A-lad","No",0
"264","13A-lah","Yes",1
"265","13A-lak","No",0
"266","13A-lkt","No",0
"267","13A-lkk","Yes",1
"268","13A-lam","Yes",1
"269","13A-lan","Yes",1
"270","13A-lat","Yes",1
"271","13A-lav","No",0
"272","13A-llm","Yes",1
"273","13A-len","No",0
"274","13A-lez","No",0
"275","13A-lu","Yes",1
"276","13A-lua","Yes",1
"277","13A-lug","Yes",1
"278","13A-lui","No",0
"279","13A-luo","Yes",1
"280","13A-lus","No",0
"281","13A-kkv","No",0
"282","13A-luv","Yes",1
"283","13A-maa","Yes",1
"284","13A-mab","Yes",1
"285","13A-mne","No",0
"286","13A-mak","No",0
"287","13A-mal","No",0
"288","13A-mlk","No",0
"289","13A-mla","Yes",1
"290","13A-mnd","Yes",1
"291","13A-myi","No",0
"292","13A-mgg","No",0
"293","13A-mao","No",0
"294","13A-map","No",0
"295","13A-mrn","No",0
"296","13A-mku","No",0
"297","13A-mrg","Yes",1
"298","13A-mar","No",0
"299","13A-mrd","No",0
"300","13A-mrt","No",0
"301","13A-mau","No",0
"302","13A-max","No",0
"303","13A-mya","Yes",1
"304","13A-may","No",0
"305","13A-maz","Yes",1
"306","13A-mzc","Yes",1
"307","13A-mba","Yes",1
"308","13A-mbb","No",0
"309","13A-mbm","Yes",1
"310","13A-mei","Yes",1
"311","13A-mie","Yes",1
"312","13A-mss","No",0
"313","13A-mtp","No",0
"314","13A-mxc","Yes",1
"315","13A-mxm","Yes",1
"316","13A-mog","No",0
"317","13A-mor","Yes",1
"318","13A-mro","Yes",1
"319","13A-mov","No",0
"320","13A-mui","Yes",1
"321","13A-mum","Yes",1
"322","13A-mun","No",0
"323","13A-mrl","Yes",1
"324","13A-mpa","No",0
"325","13A-nhn","No",0
"326","13A-nht","No",0
"327","13A-nmb","Yes",1
"328","13A-nai","No",0
"329","13A-nnc","No",0
"330","13A-nan","Yes",1
"331","13A-nar","Yes",1
"332","13A-nav","Yes",1
"333","13A-nax","Yes",1
"334","13A-ndt","Yes",1
"335","13A-ndy","Yes",1
"336","13A-nen","No",0
"337","13A-nap","No",0
"338","13A-nep","No",0
"339","13A-new","No",0
"340","13A-nez","No",0
"341","13A-nga","No",0
"342","13A-nti","Yes",1
"343","13A-ngi","No",0
"344","13A-ngz","Yes",1
"345","13A-chu","No",0
"346","13A-niv","Yes",1
"347","13A-nko","Yes",1
"348","13A-nob","Yes",1
"349","13A-non","Yes",1
"350","13A-nor","Yes",1
"351","13A-nug","No",0
"352","13A-nun","Yes",1
"353","13A-nuu","No",0
"354","13A-nkt","Yes",1
"355","13A-nyg","Yes",1
"356","13A-nyi","Yes",1
"357","13A-nis","Yes",1
"358","13A-oca","Yes",1
"359","13A-ogb","Yes",1
"360","13A-oji","No",0
"361","13A-ond","Yes",1
"362","13A-ood","No",0
"363","13A-orm","No",0
"364","13A-orh","Yes",1
"365","13A-otm","Yes",1
"366","13A-pms","No",0
"367","13A-pac","No",0
"368","13A-pae","No",0
"369","13A-pai","No",0
"370","13A-pnr","No",0
"371","13A-puk","No",0
"372","13A-psh","No",0
"373","13A-psm","Yes",1
"374","13A-pau","No",0
"375","13A-paw","Yes",1
"376","13A-pec","Yes",1
"377","13A-prs","No",0
"378","13A-phl","Yes",1
"379","13A-prh","Yes",1
"380","13A-pit","No",0
"381","13A-poa","Yes",1
"382","13A-poh","No",0
"383","13A-pol","No",0
"384","13A-pur","No",0
"385","13A-bng","No",0
"386","13A-qaw","No",0
"387","13A-qco","No",0
"388","13A-qui","Yes",1
"389","13A-ram","No",0
"390","13A-rap","No",0
"391","13A-res","Yes",1
"392","13A-rom","No",0
"393","13A-rsc","No",0
"394","13A-ror","No",0
"395","13A-rtk","No",0
"396","13A-ruk","No",0
"397","13A-rus","No",0
"398","13A-rut","Yes",1
"399","13A-scs","No",0
"400","13A-sba","No",0
"401","13A-sdw","Yes",1
"402","13A-san","Yes",1
"403","13A-snm","No",0
"404","13A-svs","No",0
"405","13A-sed","No",0
"406","13A-sel","No",0
"407","13A-sml","No",0
"408","13A-snd","Yes",1
"409","13A-snc","No",0
"410","13A-sha","Yes",1
"411","13A-shs","Yes",1
"412","13A-shk","No",0
"413","13A-shi","No",0
"414","13A-shu","No",0
"415","13A-sdh","No",0
"416","13A-snh","No",0
"417","13A-srn","No",0
"418","13A-sla","Yes",1
"419","13A-som","Yes",1
"420","13A-soq","No",0
"421","13A-sor","No",0
"422","13A-spa","No",0
"423","13A-squ","No",0
"424","13A-sre","Yes",1
"425","13A-sue","Yes",1
"426","13A-sui","Yes",1
"427","13A-sup","Yes",1
"428","13A-swa","No",0
"429","13A-tab","No",0
"430","13A-tac","No",0
"431","13A-tag","No",0
"432","13A-tma","Yes",1
"433","13A-tam","Yes",1
"434","13A-tmp","Yes",1
"435","13A-tok","Yes",1
"436","13A-tas","No",0
"437","13A-tsg","No",0
"438","13A-teh","No",0
"439","13A-tks","Yes",1
"440","13A-tel","No",0
"441","13A-tmn","Yes",1
"442","13A-tne","Yes",1
"443","13A-ter","Yes",1
"444","13A-ttn","No",0
"445","13A-tha","Yes",1
"446","13A-tib","Yes",1
"447","13A-tic","Yes",1
"448","13A-tgk","No",0
"449","13A-tgr","No",0
"450","13A-try","No",0
"451","13A-twn","Yes",1
"452","13A-tiw","No",0
"453","13A-tlp","Yes",1
"454","13A-tli","Yes",1
"455","13A-toa","No",0
"456","13A-tol","No",0
"457","13A-ton","No",0
"458","13A-dts","Yes",1
"459","13A-tpa","No",0
"460","13A-tru","No",0
"461","13A-tsi","No",0
"462","13A-tso","No",0
"463","13A-ttu","No",0
"464","13A-tug","No",0
"465","13A-tuk","No",0
"466","13A-tul","No",0
"467","13A-tur","No",0
"468","13A-tuv","No",0
"469","13A-tza","No",0
"470","13A-umb","Yes",1
"471","13A-una","Yes",1
"472","13A-ung","No",0
"473","13A-urk","No",0
"474","13A-usa","No",0
"475","13A-uzn","No",0
"476","13A-vie","Yes",1
"477","13A-wah","Yes",1
"478","13A-bno","Yes",1
"479","13A-wam","No",0
"480","13A-wnt","No",0
"481","13A-wao","No",0
"482","13A-wps","No",0
"483","13A-wap","No",0
"484","13A-wra","No",0
"485","13A-wry","No",0
"486","13A-wrd","No",0
"487","13A-war","No",0
"488","13A-wdo","No",0
"489","13A-wma","No",0
"490","13A-wch","No",0
"491","13A-wic","No",0
"492","13A-wmu","No",0
"493","13A-win","No",0
"494","13A-wiy","No",0
"495","13A-woi","No",0
"496","13A-wlf","No",0
"497","13A-wuc","Yes",1
"498","13A-xia","Yes",1
"499","13A-xoo","Yes",1
"500","13A-ygr","Yes",1
"501","13A-yag","Yes",1
"502","13A-ykt","No",0
"503","13A-yan","No",0
"504","13A-yny","No",0
"505","13A-yap","No",0
"506","13A-yaq","Yes",1
"507","13A-yar","No",0
"508","13A-yaw","No",0
"509","13A-yay","Yes",1
"510","13A-yel","No",0
"511","13A-yes","No",0
"512","13A-yey","Yes",1
"513","13A-yid","No",0
"514","13A-yim","No",0
"515","13A-yor","Yes",1
"516","13A-yct","Yes",1
"517","13A-yuc","No",0
"518","13A-ycn","No",0
"519","13A-yko","No",0
"520","13A-ytu","No",0
"521","13A-yul","Yes",1
"522","13A-yus","No",0
"523","13A-yur","No",0
"524","13A-zan","Yes",1
"525","13A-zqc","No",0
"526","13A-zul","Yes",1
"527","13A-zun","No",0
