,speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
70,bte03,159,dult,836.1941534,544.6643807,112.1167568,96.65921892,296.9029332,150.7934679,176.2510058,120.6519274,383.5621521,271.4453954,296.9029332,46,tʏl̥t,nasp,ʏ,high,front,round,l̥,lateral,coronal,yes,mono,cvlc,reticent,adj,c,cc
71,bte03,151,pund,803.9807959,533.8801425,257.1854875,105.9761149,260.8701814,0,161.2093726,99.66080877,356.8462963,99.66080877,260.8701814,32,pʰʏnt,asp,ʏ,high,front,round,n,nasal,coronal,no,mono,cvnc,pound,n,c,cc
72,bte03,32,kopp,228.4698904,559.8715042,217.0455174,96.23196234,254.8090199,0,130.8135551,123.9954649,341.0409822,123.9954649,254.8090199,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
73,jj04,19,kapli,92.28181585,569.9984981,115.4194095,82.34156431,204.2216228,65.54005463,108.6178998,95.60372297,276.5631871,161.1437776,204.2216228,58,kʰaʰplɪ,asp,a,low,front,unrounded,ʰp,stop,labial,yes,di,cvccv,cable,n,x,cx
74,bte03,40,hefna,283.0717513,532.9681841,80.42517007,90.42517007,182.5094482,NA,NA,182.5094482,262.9346183,182.5094482,NA,53,hepna,fri,e,mid,front,unrounded,p,stop,labial,no,di,cvccv,avenge,v,x,cx
75,brs02,82,kopp,275.886448,443.9930893,153.640139,90.37135049,197.5828646,39.46490414,112.7336926,84.84917199,277.9542151,124.3140761,197.5828646,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
76,brs02,139,kokk,443.0713769,449.9382716,169.7790004,117.4618379,194.6833449,50.07512769,112.3922902,82.29105464,302.1451828,132.3661823,194.6833449,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
77,shg05,45,gelta,126.2821593,447.1467072,90.45254292,91.36113757,194.3466694,112.9219307,122.013336,72.33333333,275.7078069,185.255264,194.3466694,47,cel̥ta,nasp,e,mid,front,unrounded,l̥,lateral,coronal,yes,di,cvlcv,bark,v,c,cc
78,brs02,165,tefla,509.5702475,483.7822833,89.95533799,99.95533799,143.5788376,NA,NA,143.5788376,233.5341756,143.5788376,NA,59,tʰepla,asp,e,mid,front,unrounded,p,stop,labial,no,di,cvccv,play chess,v,x,cx
79,tt01,104,tipla,317.2653207,515.5125897,95.75639353,80.22794765,187.6923196,60.47540342,86.0038493,101.6884703,257.9202672,162.1638737,187.6923196,60,tʰɪʰpla,asp,ɪ,high,front,unrounded,ʰp,stop,labial,yes,di,cvccv,tiptoe,v,x,cx
