"","iso","name","lat","long","family","macroarea","country","tones","happyPlanetIndex","dailyCalories","freedomPress","rainfall","percentForest","inventory","distanceFromCapeTown"
"2534","xok","Xokleng",-24.5,-50,"Macro-Ge","South America","BRA",0,34.3,3263,312,1761,59.04878358,37,6606.569957
"2535","nmn","!Xóõ",-24,21.5,"Tu","Africa","BWA",3,16.6,2326,2529,416,19.12727401,161,1143.665299
"2536","xsm","Kàsim",11,-1.333333333,"Niger-Congo","Africa","GHA",5,21.4,3016,1841,1187,41.03454338,85,5416.225999
"2538","yad","Yagua",-3.5,-72,"Peba-Yaguan","South America","PER",0,34.6,2700,3027,1738,57.79140625,46,9832.571137
"2539","yag","Yahgan",-55,-68,"Yámana","South America","CHL",0,31.7,2979,2269,1522,23.8523695,20,6770.040037
"2542","yaa","Yaminahua",-8,-73,"Panoan","South America","BRA",0,34.3,3263,312,1761,59.04878358,22,9645.593603
"2543","ynn","Yana",40.5,-122,"Hokan","North America","USA",0,20.7,3682,2373,715,33.89972254,30,16470.99911
"2544","yao","Yao (in Malawi)",-14.5,35.5,"Niger-Congo","Africa","MOZ",4,23.7,2283,3112,1032,48.24639487,29,2760.263385
"2546","yaq","Yaqui",27.5,-110.25,"Uto-Aztecan","North America","MEX",0,40.7,3072,4891,758,33.97206718,22,15111.60103
"2549","yva","Yawa",-1.75,136.25,"Yawa","Papunesia","IDN",0,35.7,2777,3968,2702,50.23819118,19,12426.80754
"2550","pcc","Yay",22.41666667,104.75,"Tai-Kadai","Eurasia","VNM",6,40.3,2745,7505,1821,47.64408037,72,11058.52035
"2552","yam","Yamba",6.416666667,11.08333333,"Niger-Congo","Africa","CMR",4,16.7,2671,4092,1604,39.80453132,38,4553.355576
"2555","ycn","Yucuna",-0.75,-71,"Arawakan","South America","COL",0,40.7,2804,4103,3240,52.72802163,42,9910.956716
"2556","yua","Yucatec",20,-89,"Mayan","North America","MEX",0,40.7,3072,4891,758,33.97206718,30,12803.71987
"2559","ydd","Yiddish (Lodz)",51.75,19.41666667,"Indo-European","Eurasia","POL",0,27.5,3451,2659,600,30.81420033,47,9530.13973
"2562","ybb","Yemba",5.416666667,10.08333333,"Niger-Congo","Africa","CMR",9,16.7,2671,4092,1604,39.80453132,62,4463.105973
"2564","yey","Yeyi",-20,23.5,"Niger-Congo","Africa","NAM",0,21.6,2171,2024,285,8.404086045,90,1627.915601
"2569","yii","Yidiny",-17,145.75,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,16,12072.90272
"2574","yuk","Yuki",39.66666667,-123.5,"Wappo-Yukian","North America","USA",0,20.7,3682,2373,715,33.89972254,30,16596.69819
"2577","yux","Yukaghir (Kolyma)",65.75,150.8333333,"Yukaghir","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,65,15307.62089
"2578","yup","Yukpa",10.16666667,-72.75,"Cariban","South America","COL",0,40.7,2804,4103,3240,52.72802163,39,10746.78167
"2579","sah","Yakut",62,130,"Altaic","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,83,14403.91026
"2584","ydd","Yiddish (Lithuanian)",55,25,"Indo-European","Eurasia","LTU",0,21,3417,222,656,34.79871021,47,9911.102966
"2587","jnj","Yemsa",7.833333333,37.33333333,"Afro-Asiatic","Africa","ETH",5,26.7,2131,5017,848,12.499,40,5054.833691
"2591","wca","Yanomámi",2.333333333,-63,"Yanomam","South America","BRA",0,34.3,3263,312,1761,59.04878358,87,9366.474683
"2592","yns","Yansi",-3.833333333,18,"Niger-Congo","Africa","COD",3,18.8,NA,516,1543,67.3024415,42,3347.409967
"2593","jao","Yanyuwa",-16.41666667,137.1666667,"Pama-Nyungan","Australia","AUS",0,21.2,3276,1546,534,16.23875662,32,11457.09518
"2595","yor","Yoruba",8,4.333333333,"Niger-Congo","Africa","NGA",3,22.2,2700,3741,1150,7.678118515,92,4894.53347
"2598","yuz","Yuracare",-16.58333333,-65.25,"Yuracare","South America","BOL",0,23.3,2256,3245,1146,50.55294009,50,8420.637694
"2600","yae","Yaruro",7,-68,"Yaruro","South America","VEN",0,33.6,2631,4603,2044,52.92557111,38,10116.77659
"2601","yui","Yuruti",1,-70.41666667,"Tucanoan","South America","COL",0,40.7,2804,4103,3240,52.72802163,17,9965.773065
"2603","ess","Yupik (St. Lawrence Island)",63.5,-170.5,"Eskimo-Aleut","Eurasia","USA",0,20.7,3682,2373,715,33.89972254,36,16674.36484
"2605","ykg","Yukaghir (Tundra)",69,155,"Yukaghir","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,26,15291.59892
"2606","yuc","Yuchi",35.75,-86.75,"Yuchi","North America","USA",0,20.7,3682,2373,715,33.89972254,159,13364.83306
"2611","yur","Yurok",41.33333333,-124,"Algic","North America","USA",0,20.7,3682,2373,715,33.89972254,35,16638.50852
"2612","ess","Yupik (Siberian)",65,-173,"Eskimo-Aleut","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,36,16480.08952
"2618","kpv","Yazva",65,55,"Uralic","Eurasia","RUS",0,18.7,3361,4996,460,49.76106545,69,11451.79974
"2626","dje","Zarma",13.83333333,2.166666667,"Songhay","Africa","NER",4,16.8,2547,274,151,0.901555222,40,5584.321349
"2627","zay","Zayse",5.916666667,37.33333333,"Afro-Asiatic","Africa","ETH",0,26.7,2131,5017,848,12.499,32,4857.927203
"2628","diq","Zazaki",39,41,"Indo-European","Eurasia","TUR",0,26.4,3706,535,593,15.22159999,44,8438.473548
"2635","zul","Zulu (Northern)",-28,31,"Niger-Congo","Africa","ZAF",3,15.9,3022,2039,495,7.617736524,80,1367.108679
"2637","zro","Zaparo",-2,-76.33333333,"Zaparoan","South America","PER",0,34.6,2700,3027,1738,57.79140625,22,10324.97552
"2638","zoc","Zoque (Copainalá)",17,-93.25,"Mixe-Zoque","North America","MEX",0,40.7,3072,4891,758,33.97206718,80,13029.97201
"2639","zoc","Zoque (Ostuacan)",17.41666667,-93.3,"Mixe-Zoque","North America","MEX",0,40.7,3072,4891,758,33.97206718,80,13057.64492
"2642","zul","Zulu (Southern)",-31,30,"Niger-Congo","Africa","ZAF",3,15.9,3022,2039,495,7.617736524,80,1133.326196
"2643","zab","Zapotec (San Lucas Quiaviní)",16.9,-96.46666667,"Oto-Manguean","North America","MEX",0,40.7,3072,4891,758,33.97206718,47,13321.11262
"2645","zul","Zulu",-30,30,"Niger-Congo","Africa","ZAF",3,15.9,3022,2039,495,7.617736524,80,1175.50366
"2646","zun","Zuni",35.08333333,-108.8333333,"Zuni","North America","USA",0,20.7,3682,2373,715,33.89972254,79,15243.16294
"2648","zpq","Zapotec (Zoogocho)",17.25,-96.25,"Oto-Manguean","North America","MEX",5,40.7,3072,4891,758,33.97206718,65,13320.46608
